Museum,SpecimenPfx,SpecimenNumber,SpecimenSfx,RecordNumber,FieldNumber,YearFound,StudyArea,Locality,CollectingArea,AreaModifier,Formation,Member,Level,StratigraphicUnit,Excavation,SqrNmbr,Class,Order,Family,FamilyCode,Subfamily,TribeCode,Tribe,GenusCode,GenusQualifier,Genus,SpeciesQualifier,Species,BodyElement,Side,BodyElementCode,PartDescription,PublicationAuthor,YearPublished,YearPublishedSfx
KNM,ER,1,,,69-27,1969,East Turkana,Koobi Fora Ridge,103,,Koobi Fora,Unknown,,,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Lt.,30,fragment with P4-M3 complete (M1 damaged),J. Harris,1983,c
KNM,ER,2,,,69-128,1969,East Turkana,,,,Koobi Fora,Unknown,,,,,Mammalia,Primates,Cercopithecidae,39,Cercopithecinae,,,5,,Theropithecus,indet.,,Humerus,Rt.,36,nearly complete,"N. Jablonski, M. Leakey",2008,c
KNM,ER,3,,,69-28,1969,East Turkana,Koobi Fora Ridge,103,,Koobi Fora,Unknown,,,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Maxilla,Rt.,29,fragment with P2-M3 nearly complete,J. Harris,1983,c
KNM,ER,4,,,69-71,1969,East Turkana,,,,Koobi Fora,Unknown,,,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Rt.,30,"fragment with dp3-dp4, M1 complete",J. Harris,1983,c
KNM,ER,5,,,,,,,,,Koobi Fora,Unknown,,,,,Mammalia,Primates,Cercopithecidae,39,Cercopithecinae,,,5,,Theropithecus,indet.,,Humerus,Lt.,36,distal fragment,"N. Jablonski, M. Leakey",2008,c
KNM,ER,6,,,,,,,130,,Koobi Fora,Burgi,Upper,,,,Mammalia,Primates,Cercopithecidae,39,Cercopithecinae,,,5,,Theropithecus,indet.,,Humerus,Lt.,36,distal fragment,"N. Jablonski, M. Leakey",2008,c
KNM,ER,6,A,1,69-80,1969,East Turkana,,,,Koobi Fora,Unknown,,,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Rt.,30,fragment with M2-M3 complete,J. Harris,1983,c
KNM,ER,6,B,2,69-80,1969,East Turkana,,,,Koobi Fora,Unknown,,,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Lt.,30,fragment with P3-M3 complete,J. Harris,1983,c
KNM,ER,7,A,1,69-88,1969,East Turkana,,,,Koobi Fora,U. Burgi - KBS?,,KF II,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Lt.,30,"fragment with dp3-dp4, M1 complete",J. Harris,1983,c
KNM,ER,7,B,2,69-88,1969,East Turkana,,,,Koobi Fora,U. Burgi - KBS?,,KF II,,,Mammalia,Artiodactyla,Suidae,69,,,,1,,Kolpochoerus,,limnetes,Mandible,Rt.,30,"fragment with dp3-dp4, M1 complete",J. Harris,1983,c
